stroke,horsepower,peakrpm,price
2.68,111,5000,13495
2.68,111,5000,16500
3.47,154,5000,16500
3.4,102,5500,13950
3.4,115,5500,17450
3.4,110,5500,15250
3.4,110,5500,17710
3.4,110,5500,18920
3.4,140,5500,23875
3.4,160,5500,17859.167
2.8,101,5800,16430
2.8,101,5800,16925
3.19,121,4250,20970
3.19,121,4250,21105
3.19,121,4250,24565
3.39,182,5400,30760
3.39,182,5400,41315
3.39,182,5400,36880
3.03,48,5100,5151
3.11,70,5400,6295
3.11,70,5400,6575
3.23,68,5500,5572
3.23,68,5500,6377
3.39,102,5500,7957
3.23,68,5500,6229
3.23,68,5500,6692
3.23,68,5500,7609
3.39,102,5500,8558
3.46,88,5000,8921
3.9,145,5000,12964
3.41,58,4800,6479
3.41,76,6000,6855
3.07,60,5500,5399
3.41,76,6000,6529
3.41,76,6000,7129
3.41,76,6000,7295
3.41,76,6000,7295
3.58,86,5800,7895
3.58,86,5800,9095
3.58,86,5800,8845
3.58,86,5800,10295
3.58,101,5800,12945
3.58,100,5500,10345
3.23,78,4800,6785
3.11,70,5400,8916.5
3.11,70,5400,8916.5
3.23,90,5000,11048
4.17,176,4750,32250
4.17,176,4750,35550
2.76,262,5000,36000
3.15,68,5000,5195
3.15,68,5000,6095
3.15,68,5000,6795
3.15,68,5000,6695
3.15,68,5000,7395
3.255,101,6000,10945
3.255,101,6000,11845
3.255,101,6000,13645
3.255,135,6000,15645
3.39,84,4800,8845
3.39,84,4800,8495
3.39,84,4800,10595
3.39,84,4800,10245
3.39,64,4650,10795
3.39,84,4800,11245
3.16,120,5000,18280
3.64,72,4200,18344
3.64,123,4350,25552
3.64,123,4350,28248
3.64,123,4350,28176
3.64,123,4350,31600
3.1,155,4750,34184
3.1,155,4750,35056
3.35,184,4500,40960
3.35,184,4500,45400
3.12,175,5000,16503
3.23,68,5500,5389
3.23,68,5500,6189
3.23,68,5500,6669
3.39,102,5500,7689
3.46,116,5500,9959
3.46,88,5000,8499
3.86,145,5000,12629
3.86,145,5000,14869
3.86,145,5000,14489
3.46,88,5000,6989
3.46,88,5000,8189
3.46,116,5500,9279
3.46,116,5500,9279
3.29,69,5200,5499
3.47,55,4800,7099
3.29,69,5200,6649
3.29,69,5200,6849
3.29,69,5200,7349
3.29,69,5200,7299
3.29,69,5200,7799
3.29,69,5200,7499
3.29,69,5200,7999
3.29,69,5200,8249
3.47,97,5200,8949
3.47,97,5200,9549
3.27,152,5200,13499
3.27,152,5200,14399
3.27,152,5200,13499
3.27,160,5200,17199
3.27,200,5200,19699
3.27,160,5200,18399
3.19,97,5000,11900
3.52,95,4150,13200
3.19,97,5000,12440
3.52,95,4150,13860
2.19,95,5000,15580
3.52,95,4150,16900
2.19,95,5000,16695
3.52,95,4150,17075
3.19,97,5000,16630
3.52,95,4150,17950
3.21,142,5600,18150
3.23,68,5500,5572
3.39,102,5500,7957
3.23,68,5500,6229
3.23,68,5500,6692
3.23,68,5500,7609
3.46,88,5000,8921
3.86,145,5000,12764
3.11,143,5500,22018
2.9,207,5900,32528
2.9,207,5900,34028
2.9,207,5900,37028
3.11,288,5750,31400.5
3.9,90,5100,9295
3.9,90,5100,9895
3.07,110,5250,11850
3.07,110,5250,12170
2.07,110,5250,15040
3.07,110,5250,15510
3.07,160,5500,18150
3.07,160,5500,18620
2.36,69,4900,5118
2.64,73,4400,7053
2.64,73,4400,7603
2.64,82,4800,7126
2.64,82,4400,7775
2.64,94,5200,9960
2.64,82,4800,9233
2.64,111,4800,11259
2.64,82,4800,7463
2.64,94,5200,10198
2.64,82,4800,8013
2.64,111,4800,11694
3.03,62,4800,5348
3.03,62,4800,6338
3.03,62,4800,6488
3.03,62,4800,6918
3.03,62,4800,7898
3.03,62,4800,8778
3.03,70,4800,6938
3.03,70,4800,7198
3.35,56,4500,7898
3.35,56,4500,7788
3.03,70,4800,7738
3.03,70,4800,8358
3.03,70,4800,9258
3.03,70,4800,8058
3.03,70,4800,8238
3.08,112,6600,9298
3.08,112,6600,9538
3.5,116,4800,8449
3.5,116,4800,9639
3.5,116,4800,9989
3.5,116,4800,11199
3.5,116,4800,11549
3.5,116,4800,17669
3.54,92,4200,8948
3.35,73,4500,10698
3.54,92,4200,9988
3.54,92,4200,10898
3.54,92,4200,11248
3.35,161,5200,16558
3.35,161,5200,15998
3.35,156,5200,15690
3.35,156,5200,15750
3.4,52,4800,7775
3.4,85,5250,7975
3.4,52,4800,7995
3.4,85,5250,8195
3.4,85,5250,8495
3.4,68,4500,9495
3.4,100,5500,9995
3.4,90,5500,11595
3.4,90,5500,9980
3.4,110,5500,13295
3.4,68,4500,13845
3.4,88,5500,12290
3.15,114,5400,12940
3.15,114,5400,13415
3.15,114,5400,15985
3.15,114,5400,16515
3.15,162,5100,18420
3.15,162,5100,18950
3.15,114,5400,16845
3.15,160,5300,19045
2.87,134,5500,21485
3.4,106,4800,22470
3.15,114,5400,22625
